COD_CARRERA;COD_ASIGNATURA;SIGLO_PERIODO_DESDE;ANIO_PERIODO_DESDE;MESI_PERIODO_DESDE;MESF_PERIODO_DESDE;IND_LIBRE_AREA;SIGLO_PERIODO_HASTA;ANIO_PERIODO_HASTA;MESI_PERIODO_HASTA;MESF_PERIODO_HASTA
1700;CE4263;0;99;9;12;C;1;2;4;7
1700;CE5111;0;99;9;12;C;;;;
1700;CE6212;0;99;9;12;C;1;2;4;7
1700;CE7222;0;99;9;12;C;1;8;4;7
1700;CE7293;0;99;9;12;C;1;8;4;7
1504;EP3420;0;99;9;12;B;;;;
1504;EP4217;0;99;9;12;B;;;;
1504;EP4317;0;99;9;12;B;;;;
1504;FS5441;0;99;9;12;B;;;;
1504;FS5731;0;99;9;12;B;;;;
1504;ID5124;0;99;9;12;B;;;;
1504;MC3617;0;99;9;12;B;;;;
1504;MC3618;0;99;9;12;B;;;;
1504;MC3620;0;99;9;12;B;;;;
1504;MC3623;0;99;9;12;B;;;;
1504;MC3625;0;99;9;12;B;1;0;7;8
1504;MC4122;0;99;9;12;B;;;;
1504;MC4666;0;99;9;12;B;;;;
1504;MC4667;0;99;9;12;B;;;;
1504;MC5122;0;99;9;12;B;;;;
1504;MC5164;0;99;9;12;B;;;;
1504;MC5517;0;99;9;12;B;;;;
1504;MC5665;0;99;9;12;B;;;;
1504;MT3261;0;99;9;12;B;;;;
1504;MT4321;0;99;9;12;B;;;;
1504;MT4421;0;99;9;12;B;;;;
1504;MT4424;0;99;9;12;B;;;;
1504;MT4425;0;99;9;12;B;;;;
1504;MT5113;0;99;9;12;B;;;;
1504;MT5511;0;99;9;12;B;;;;
1504;MT5512;0;99;9;12;B;1;0;9;12
1504;PB5611;0;99;9;12;B;;;;
1504;PB5671;0;99;9;12;B;;;;
1504;PL4510;0;99;9;12;B;;;;
1504;PS1131;0;99;9;12;B;;;;
1504;PS2121;0;99;9;12;B;;;;
1504;PS4120;0;99;9;12;B;;;;
1504;PS4317;0;99;9;12;B;;;;
1504;PS5115;0;99;9;12;B;1;7;1;3
1504;PS5117;0;99;9;12;B;;;;
1504;PS5216;0;99;9;12;B;;;;
1504;PS5225;0;99;9;12;B;;;;
1504;PS5316;0;99;9;12;B;;;;
1504;PS5317;0;99;9;12;B;;;;
1504;PS6228;0;99;9;12;B;1;0;7;8
1700;BO4275;0;99;9;12;C;;;;
1700;CC6729;0;99;9;12;C;;;;
1504;CI2121;0;99;9;12;B;1;1;7;8
1504;CI2122;0;99;9;12;B;;;;
1504;EP1420;0;99;9;12;B;;;;
1504;EP2215;0;99;9;12;B;1;6;9;12
1504;EP3215;0;99;9;12;B;1;5;1;3
1503;MT5312;0;99;9;12;B;;;;
1503;MT5411;0;99;9;12;B;;;;
1503;MT5412;0;99;9;12;B;;;;
1503;MT5414;0;99;9;12;B;1;0;9;12
1503;MT6311;0;99;9;12;B;1;0;9;12
1503;MT6312;0;99;9;12;B;;;;
1503;PB5611;0;99;9;12;B;;;;
1503;PB5671;0;99;9;12;B;;;;
1503;PS1131;0;99;9;12;B;;;;
1503;PS2121;0;99;9;12;B;;;;
1503;PS4120;0;99;9;12;B;;;;
1503;PS4317;0;99;9;12;B;;;;
1503;PS5115;0;99;9;12;B;1;7;1;3
1503;PS5117;0;99;9;12;B;;;;
1503;PS5218;0;99;9;12;B;;;;
1503;PS5225;0;99;9;12;B;;;;
1504;BO4275;0;99;9;12;B;;;;
1504;CE2562;0;99;9;12;B;;;;
1504;CE3114;0;99;9;12;B;;;;
1504;CE3115;0;99;9;12;B;;;;
1504;CE3122;0;99;9;12;B;;;;
1504;CE3417;0;99;9;12;B;;;;
1504;CE3418;0;99;9;12;B;;;;
1504;CE3419;0;99;9;12;B;1;9;1;3
1504;CE3420;0;99;9;12;B;;;;
1504;CE4111;0;99;9;12;B;;;;
1504;CE4120;0;99;9;12;B;;;;
1504;CE4121;0;99;9;12;B;;;;
1504;CE4254;0;99;9;12;B;;;;
1504;CE4255;0;99;9;12;B;;;;
1504;CE4256;0;99;9;12;B;;;;
