COD_CARRERA;COD_ASIGNATURA;SIGLO_PERIODO_DESDE;ANIO_PERIODO_DESDE;MESI_PERIODO_DESDE;MESF_PERIODO_DESDE;NRO_TRIMESTRE;MODALIDAD;SIGLO_PERIODO_HASTA;ANIO_PERIODO_HASTA;MESI_PERIODO_HASTA;MESF_PERIODO_HASTA
0400;QM2312;0;99;9;12;7;SM;;;;
0400;QM2321;0;99;9;12;8;SM;;;;
0400;QM2381;0;99;9;12;7;SM;;;;
0400;QM2382;0;99;9;12;9;SM;1;4;7;8
0400;QM2421;0;99;9;12;8;SM;1;0;7;8
0400;QM2422;0;99;9;12;9;SM;;;;
0400;QM2423;0;99;9;12;10;SM;;;;
0400;QM2510;0;99;9;12;7;SM;;;;
0400;QM2511;0;99;9;12;7;SM;;;;
0400;QM2512;0;99;9;12;8;SM;;;;
0400;QM2513;0;99;9;12;9;SM;;;;
0400;QM2581;0;99;9;12;10;SM;1;4;7;8
0400;QM2680;0;99;9;12;11;SM;;;;
0400;QM2681;0;99;9;12;10;SM;0;99;9;12
0400;QM2682;0;99;9;12;12;SM;1;12;7;8
0400;QM5514;0;99;9;12;10;SM;;;;
0400;QM6316;0;99;9;12;10;SM;;;;
0500;CI2121;0;99;9;12;6;SM;1;1;7;8
0500;CO3312;0;99;9;12;8;SM;;;;
0500;CO3411;0;99;9;12;7;SM;;;;
0500;EP1105;0;99;9;12;14;SM;;;;
0500;EP2105;0;99;9;12;15;SM;;;;
0500;EP3105;0;99;9;12;15;SM;;;;
0500;FS2211;0;99;9;12;4;SM;1;1;7;8
0500;FS2212;0;99;9;12;5;SM;;;;
0500;ID2131;0;99;9;12;4;SM;;;;
0500;ID2132;0;99;9;12;5;SM;;;;
0500;ID2133;0;99;9;12;6;SM;;;;
0500;MA2221;0;99;9;12;4;SM;1;1;7;8
0500;MA2222;0;99;9;12;5;SM;;;;
0500;MA2223;0;99;9;12;6;SM;;;;
0500;MA2311;0;99;9;12;4;SM;1;1;7;8
0500;MA2312;0;99;9;12;5;SM;1;9;4;7
0500;MA2313;0;99;9;12;6;SM;1;12;1;3
0500;MA2811;0;99;9;12;6;SM;;;;
0500;MA3221;0;99;9;12;9;SM;;;;
0500;MA3311;0;99;9;12;7;SM;1;12;1;3
0500;MA3312;0;99;9;12;8;SM;1;12;1;3
0500;MA3313;0;99;9;12;9;SM;1;12;1;3
0500;MA3361;0;99;9;12;7;SM;;;;
0500;MA3521;0;99;9;12;9;SM;;;;
0500;MA3531;0;99;9;12;8;SM;;;;
0500;MA3635;0;99;9;12;8;SM;;;;
0500;MA3637;0;99;9;12;7;SM;;;;
0500;MA6637;0;99;9;12;10;SM;;;;
0501;CI2612;0;99;9;12;8;SM;;;;
0501;CO2111;0;99;9;12;4;SM;1;1;7;8
0501;CO2112;0;99;9;12;5;SM;;;;
0501;CO2113;0;99;9;12;6;SM;;;;
0501;CO3311;0;99;9;12;8;SM;;;;
0501;CO3312;0;99;9;12;8;SM;;;;
0501;CO3411;0;99;9;12;7;SM;1;9;7;8
0501;CO3511;0;99;9;12;7;SM;1;9;7;8
0501;CO4611;0;99;9;12;10;SM;1;6;1;3
0501;EP1205;0;99;9;12;13;SM;;;;
0501;EP1305;0;99;9;12;14;SM;;;;
0501;EP1405;0;99;9;12;15;SM;;;;
0501;EP1420;0;99;9;12;11;SM;1;12;4;7
0501;EP3420;0;99;9;12;11;SM;1;1;1;3
0501;ID2131;0;99;9;12;4;SM;;;;
0501;ID2132;0;99;9;12;5;SM;;;;
0501;ID2133;0;99;9;12;6;SM;;;;
0501;MA2221;0;99;9;12;4;SM;1;1;7;8
0501;MA2222;0;99;9;12;5;SM;;;;
0501;MA2223;0;99;9;12;6;SM;;;;
0501;MA2311;0;99;9;12;4;SM;1;1;7;8
0501;MA2312;0;99;9;12;5;SM;1;9;4;7
0501;MA2313;0;99;9;12;6;SM;1;12;1;3
0501;MA3311;0;99;9;12;7;SM;1;12;1;3
0501;MA3312;0;99;9;12;8;SM;1;12;1;3
0501;MA3313;0;99;9;12;9;SM;1;12;1;3
0501;MA3521;0;99;9;12;9;SM;;;;
0501;MA3531;0;99;9;12;8;SM;;;;
0501;MA6637;0;99;9;12;10;SM;;;;
0600;CI2125;0;99;9;12;5;SM;1;2;7;8
0600;CI2126;0;99;9;12;8;SM;1;2;9;12
0600;CO3131;0;99;9;12;7;SM;1;0;1;3
0600;EC1167;0;99;9;12;6;SM;1;1;7;8
0600;EC1168;0;99;9;12;7;SM;1;3;1;3
0600;EC1181;0;99;9;12;7;SM;1;3;1;3
0600;EC1251;0;99;9;12;4;SM;1;1;7;8
0600;EC1311;0;99;9;12;10;SM;1;2;7;8
0600;EC1411;0;99;9;12;8;SM;1;3;1;3
0600;EC1482;0;99;9;12;11;SM;1;4;9;12
0600;EC1713;0;99;9;12;7;SM;1;4;9;12
0600;EC1783;0;99;9;12;8;SM;1;3;1;3
0600;EC2169;0;99;9;12;8;SM;1;4;9;12
0600;EC2182;0;99;9;12;8;SM;1;3;1;3
0600;EC2262;0;99;9;12;5;SM;1;3;1;3
0600;EC2322;0;99;9;12;11;SM;1;3;9;12
0600;EC2412;0;99;9;12;9;SM;1;3;1;3
0600;EC3173;0;99;9;12;11;SM;1;3;7;8
0600;EC3184;0;99;9;12;12;SM;1;3;9;12
0600;EC3185;0;99;9;12;10;SM;1;4;9;12
0600;EC3273;0;99;9;12;6;SM;1;4;9;12
0600;EC3413;0;99;9;12;10;SM;1;3;1;3
0600;EC3721;0;99;9;12;9;SM;1;3;1;3
0600;EC3781;0;99;9;12;10;SM;1;4;9;12
0600;FS2181;0;99;9;12;4;SM;;;;
0600;FS2211;0;99;9;12;4;SM;1;1;7;8
0600;FS2212;0;99;9;12;5;SM;;;;
0600;FS2213;0;99;9;12;6;SM;;;;
0600;FS2281;0;99;9;12;5;SM;1;5;1;3
0600;FS2282;0;99;9;12;6;SM;1;3;1;3
0600;MA2112;0;99;9;12;5;SM;1;1;7;8
0600;MA2113;0;99;9;12;6;SM;;;;
0600;MA2115;0;99;9;12;4;SM;1;1;7;8
0600;MA3111;0;99;9;12;7;SM;;;;
0600;PS1314;0;99;9;12;9;SM;1;1;7;8
0600;PS2316;0;99;9;12;10;SM;1;4;1;3
0600;PS2386;0;99;9;12;11;SM;1;4;9;12
0700;DA1311;0;99;9;12;4;SM;1;5;4;7
0700;DA1312;0;99;9;12;5;SM;1;5;4;7
0700;DA1314;0;99;9;12;7;SM;;;;
0700;DA1411;0;99;9;12;5;SM;1;5;4;7
0700;DA1412;0;99;9;12;6;SM;1;5;4;7
0700;DA2111;0;99;9;12;4;SM;;;;
0700;DA2311;0;99;9;12;8;SM;;;;
0700;DA2312;0;99;9;12;9;SM;1;5;4;7
0700;DA2313;0;99;9;12;10;SM;1;1;7;8
0700;DA2314;0;99;9;12;12;SM;1;0;1;3
0700;DA2412;0;99;9;12;8;SM;1;5;4;7
0700;DA2413;0;99;9;12;9;SM;1;5;4;7
0700;DA2511;0;99;9;12;7;SM;1;5;4;7
0700;DA2513;0;99;9;12;10;SM;;;;
0700;DA2542;0;99;9;12;12;SM;;;;
0700;DA2561;0;99;9;12;11;SM;1;0;1;3
0700;DA2563;0;99;9;12;14;SM;1;5;1;5
0700;DA3311;0;99;9;12;12;SM;1;5;4;7
0700;DA3312;0;99;9;12;13;SM;;;;
0700;DA3313;0;99;9;12;14;SM;;;;
0700;DA3411;0;99;9;12;13;SM;1;0;1;3
0700;EP1307;0;99;9;12;14;SM;1;12;1;3
0700;EP2307;0;99;9;12;15;SM;1;4;4;7
0700;EP4307;0;99;9;12;15;SM;1;9;1;3
0700;FS1111;0;99;9;12;5;SM;1;2;1;3
0700;FS1117;0;99;9;12;6;SM;1;8;9;12
0700;ID2124;0;99;9;12;4;SM;;;;
0700;ID2125;0;99;9;12;5;SM;;;;
0700;ID2126;0;99;9;12;6;SM;;;;
0700;ID3124;0;99;9;12;7;SM;;;;
0700;ID3125;0;99;9;12;8;SM;;;;
0700;ID3126;0;99;9;12;9;SM;1;6;4;7
0700;MC3250;0;99;9;12;7;SM;1;8;9;12
0700;MC3252;0;99;9;12;7;SM;1;0;1;3
0700;MC3253;0;99;9;12;8;SM;1;0;1;3
0700;MC3254;0;99;9;12;9;SM;1;0;1;3
0700;PS2317;0;99;9;12;10;SM;1;9;1;3
0700;PS2318;0;99;9;12;11;SM;1;9;9;12
0700;PS4320;0;99;9;12;13;SM;;;;
0800;CI2511;0;99;9;12;4;SM;;;;
0800;CI2521;0;99;9;12;5;SM;;;;
0800;CI2522;0;99;9;12;6;SM;;;;
0800;CI2523;0;99;9;12;7;SM;;;;
0800;CI2611;0;99;9;12;4;SM;1;5;7;8
0800;CI2612;0;99;9;12;6;SM;1;4;9;12
0800;CI2613;0;99;9;12;6;SM;1;4;9;12
0800;CI2615;0;99;9;12;4;SM;1;1;7;8
0800;CI2616;0;99;9;12;5;SM;;;;
0800;CI2617;0;99;9;12;6;SM;0;99;9;12
0800;CI2692;0;99;9;12;5;SM;1;4;9;12
0800;CI2693;0;99;9;12;6;SM;1;4;9;12
0800;CI3311;0;99;9;12;11;SM;1;4;9;12
0800;CI3315;0;99;9;12;8;SM;;;;
0800;CI3321;0;99;9;12;12;SM;;;;
0800;CI3381;0;99;9;12;12;SM;;;;
0800;CI3391;0;99;9;12;11;SM;1;4;9;12
